"id","naptime","total_sleep","midpoint_sleep","bedtime_mssd","cum_gpa","term_gpa"
153,23.21428571,393.1071429,319.625,0.054510364,3.579999833,3.966666
155,22.64285714,406.7142857,398.9285714,0.098910227,3.913792862,3.952941
157,29.92857143,361.8214286,471.25,0.172579256,3.458620069,3.55
158,67.19230769,364.8846154,326.9230769,0.254525778,3.090624375,2.9
165,57.72,436.36,355.94,0.252345679,3.725806129,3.733333
166,27.35714286,432.5714286,333.3928571,0.172248895,3.892856357,3.833333
167,87.1,399.35,425.075,0.59007233,3.72,3.566666
170,42.07142857,487.0714286,282.4821429,0.00450503,3.7999995,3.766666
171,19.92307692,460.5384615,335.1923077,0.152449846,3.316666,3.233333
175,12.35714286,413.6785714,376.9107143,0.101027282,3.7499995,3.744444
179,34.96428571,430.4642857,296.4464286,0.050706066,4,3.966666
180,36.26923077,447.8846154,315.0961538,0.073322222,2.637930517,3.483333
188,30.39285714,435.1785714,319.7857143,0.069481405,3.645454394,3.83125
191,40.92857143,388.9642857,384.3214286,0.510052202,3.299999586,3.4
193,43.74074074,374.4444444,381.4259259,0.183817801,3.910714143,3.8
195,59.5,404.375,327.1875,1.234155329,2.608695217,2.866666
198,20.86956522,435.4347826,433.9782609,1.333217401,3.1999995,2.9
199,25,437.1363636,318.3863636,0.153960695,3.08,3.633333
306,29.28571429,421.6428571,355.7142857,0.041045953,3.865,3.87
307,26.04166667,434.1666667,322.625,0.029149338,3.458,3.29
312,43.875,390.0416667,335.1041667,0.048323356,3.2928125,3.76
323,23.58333333,406.4583333,464.8333333,0.47581443,2.958275862,2.8
324,34.82608696,460.173913,424.7826087,0.097755969,2.625,3
331,43.95652174,414.3913043,385.9782609,0.016025597,3.05,3.25
335,31.78571429,357.2142857,412.2321429,0.075667962,2.822222222,2.68
338,13.26923077,412.6153846,356.0769231,0.217173333,3.695517241,3.84
339,28.62962963,485.1481481,330.1481481,0.051998685,3.702,3.79
340,57.5,478.1666667,369.4166667,0.075077778,2.865,3.51
348,33.71428571,456,247.0714286,0.117205456,3.078888889,3.35
351,42.25,432.9285714,415.6964286,0.07112902,3.405,3.04
352,53.92,402.12,544.1,0.110837191,3.688928571,3.89
354,51.2962963,371.2222222,294.1851852,0.125174638,3.823235294,3.95
355,23.46428571,323.4285714,340.625,0.018477747,3.57,3.63
356,33.82142857,428.25,292.1071429,0.037849032,3.726206897,3.59
360,64.85714286,349.3928571,423.4642857,1.173676269,2.98,3.07
363,35.64285714,435.6428571,308.6071429,0.180828402,3.775,3.7
364,49.81818182,449.3636364,315.5454545,0.259393424,3.500967742,3.47
365,79.39285714,387.9285714,456.5,0.506566072,2.947142857,3.33
366,64.90909091,486.6363636,328.3863636,0.083427816,3.0975,3.3
369,27.37037037,437.1851852,347.6481481,0.039382807,3.803333333,3.76
373,36.81481481,409.4814815,308.4444444,0.061013725,3.155454545,3.41
378,39.77777778,456,307.1296296,0.052619576,3.88,3.78
380,30.15384615,412.7692308,322.1346154,0.185720889,3.259655172,3.23
386,53.42857143,372.2857143,372.2857143,0.072307099,3.917419355,4
394,25.17857143,462.4285714,299.8214286,0.071266575,3.71,3.45
399,56.55555556,433.1111111,460.8703704,0.053386752,3.730625,3.95
401,50.25,436.9285714,413.4464286,0.047301097,3.57,3.49
405,37.82142857,388.8928571,345,0.116004039,3.240625,3.59
407,50.41176471,428.8823529,404.1470588,0.187172309,3.665862069,3.7
413,31.04347826,378.9130435,463.6304348,0.77931359,3.32037037,3.13
418,35.41176471,396.6470588,407.8529412,0.108658854,3.78,3.8
422,61.24,478.52,429.14,0.136750096,2.830833333,3.08
435,42.11538462,417.2307692,457.8076923,0.088317778,3.315,3.53
439,16.82142857,370.6785714,367.6071429,0.0579984,3.653703704,3.3
448,51.03846154,417.8846154,514,0.577190667,4,3.97
454,47.35714286,365,374.25,0.157928669,3.25,3.27
